favorite_count,retweet_count,tweet_id
6668,1783,831650051525054464
8442,2157,831552930092285952
8737,1440,831322785565769729
6162,1036,831315979191906304
11065,2258,831309418084069378
11132,1885,831262627380748289
7498,1373,830956169170665475
62220,15377,830583320585068544
0,5226,830173239259324417
9138,2688,830097400375152640
0,4590,829878982036299777
11496,1790,829861396166877184
29826,9745,829501995190984704
9852,1856,829449946868879360
22864,6749,829141528400556032
50164,15062,829011960981237760
0,3150,828801551087042563
24025,5383,828770345708580865
34163,10296,828708714936930305
8932,1233,828650029636317184
6033,1078,828409743546925057
7235,1182,828408677031882754
11839,2055,828381636999917570
6972,991,828376505180889089
11842,2721,828372645993398273
2065,165,828361771580813312
11023,2648,828046555563323392
9751,1981,828011680017821696
18802,4813,827933404142436356
14557,2787,827653905312006145
7050,863,827600520311402496
14912,2799,827324948884643840
9972,2056,827199976799354881
20260,4590,826958653328592898
33970,9310,826848821049180160
0,3671,826615380357632002
4849,229,826598799820865537
9425,2173,826598365270007810
17332,3887,826476773533745153
12503,2412,826240494070030336
4586,855,826204788643753985
14706,2859,826115272272650244
9905,1735,825876512159186944
11989,2324,825829644528148480
53830,16308,825535076884762624
17207,4168,825147591692263424
0,1165,825120256414846976
5891,1165,825026590719483904
0,5078,824796380199809024
14027,3259,824775126675836928
9922,1637,824663926340194305
11147,9858,824325613288833024
14186,3557,824297048279236611
4569,556,824025158776213504
10039,2523,823939628516474880
0,10317,823719002937630720
13165,2331,823699002998870016
12225,2434,823581115634085888
660,22,823333489516937216
14779,3708,823322678127919110
0,9187,823269594223824897
16329,3190,822975315408461824
123726,39786,822872901745569793
12417,2106,822859134160621569
0,5936,822647212903690241
13932,2722,822610361945911296
17064,5936,822489057087389700
26218,13087,822462944365645825
33012,9187,822244816520155136
0,4356,822163064745328640
10649,2132,821886076407029760
0,3115,821813639212650496
7888,1555,821765923262631936
7548,1626,821522889702862852
0,5113,821421320206483457
11074,3980,821407182352777218
236,9,821153421864615936
8088,1821,821149554670182400
9037,1967,821107785811234820
11914,2117,821044531881721856
0,6216,820837357901512704
29734,9159,820749716845686786
11559,2992,820690176645140481
0,521,820494788566847489
0,2383,820446719150292993
3152,521,820314633777061888
18583,5764,820078625395449857
0,1079,820013781606658049
5007,1079,819952236453363712
12196,4529,819924195358416896
12569,2860,819711362133872643
9132,1865,819588359383371776
6816,1115,819347104292290561
2134,379,819238181065359361
21741,6216,819227688460238848
0,34436,819015337530290176
0,17734,819015331746349057
42898,17734,819006400881917954
82431,34436,819004803107983360
0,19369,818646164899774465
21165,7038,818627210458333184
9276,2346,818614493328580609
0,5669,818588835076603904
10247,2264,818536468981415936
0,7423,818307523543449600
10387,2073,818259473185828864
11589,2361,818145370475810820
4597,739,817908911860748288
48464,25030,817827839487737858
10200,2513,817777686764523521
11083,2720,817536400337801217
0,3131,817502432452313088
31746,13533,817423860136083457
5284,885,817415592588222464
0,7834,817181837579653120
8284,1857,817171292965273600
11509,2406,817120970343411712
8107,1510,817056546584727552
0,4372,816829038950027264
9450,1886,816816676327063552
9212,2047,816697700272001025
28581,7423,816450570814898180
8148,1795,816336735214911488
8461,1980,816091915477250048
0,942,816062466425819140
0,4862,816014286006976512
4676,942,815990720817401858
21069,7834,815966073409433600
0,3844,815745968457060357
9276,2109,815736392542261248
7800,1547,815639385530101762
9799,3553,815390420867969024
7242,1183,814986499976527872
10668,2515,814638523311648768
0,5440,814578408554463233
8201,1734,814530161257443328
27171,8082,814153002265309185
0,2944,813944609378369540
8833,1725,813910438903693312
34526,12991,813812741911748608
7867,1640,813800681631023104
17628,6827,813217897535406080
8743,1700,813202720496779264
18762,4033,813187593374461952
8779,1803,813172488309972993
7359,2059,813157409116065792
8061,2237,813142292504645637
4254,418,813130366689148928
11179,2913,813127251579564032
9774,2555,813112105746448384
10008,3372,813096984823349248
9403,2586,813081950185472002
7528,1821,813066809284972545
19877,6818,813051746834595840
7128,1784,812781120811126785
6278,1348,812709060537683968
5726,1147,812503143955202048
7557,1796,812466873996607488
12895,3413,812372279581671427
6893,1304,811985624773361665
7139,1468,811744202451197953
5299,680,811647686436880384
12036,2840,811627233043480576
19803,5958,811386762094317568
5041,1328,810984652412424192
8510,1639,810896069567610880
10402,2461,810657578271330305
33209,10467,810284430598270976
13935,3150,810254108431155201
14745,3671,809920764300447744
0,4557,809808892968534016
6590,1362,809448704142938112
18824,5226,809220051211603969
12525,3285,809084759137812480
9619,2857,808838249661788160
7471,2029,808733504066486276
10728,2452,808501579447930884
40069,19369,808344865868283904
0,5492,808134635716833280
8367,2062,808106460588765185
11809,3296,808001312164028416
13807,3374,807621403335917568
111267,51455,807106840509214720
0,6864,807059379405148160
12432,3618,807010152071229440
70354,32240,806629075125202948
0,5124,806620845233815552
4648,1818,806576416489959424
9708,2211,806542213899489280
0,10838,806242860592926720
6119,1131,806219024703037440
0,4995,805958939288408065
7869,1795,805932879469572096
6217,1710,805826884734976000
0,7435,805823200554876929
5465,1547,805520635690676224
8323,2370,805487436403003392
7458,1623,805207613751304193
12944,3591,804738756058218496
5823,1885,804475857670639616
0,2999,804413760345620481
41927,14985,804026241225523202
9518,2579,803773340896923648
0,6901,803692223237865472
10351,3872,803638050916102144
7369,1764,803380650405482500
0,4938,803321560782307329
9514,2289,803276597545603072
8557,1867,802952499103731712
0,2715,802624713319034886
6748,1377,802600418706604034
8494,2349,802572683846291456
15300,5456,802323869084381190
6605,1288,802265048156610565
8627,2451,802239329049477120
0,250,802185808107208704
7349,1592,801958328846974976
1721,218,801854953262350336
7797,1948,801538201127157760
5722,770,801285448605831168
23110,5492,801167903437357056
0,3691,801127390143516673
7663,1982,801115127852503040
644,90,800859414831898624
0,1511,800855607700029440
10067,2618,800751577355128832
12461,2817,800513324630806528
9021,2055,800459316964663297
0,4010,800443802682937345
10577,2630,800388270626521089
0,3680,800188575492947969
14479,2383,800141422401830912
26817,12262,800018252395122689
0,4353,799774291445383169
7947,1998,799757965289017345
7671,1793,799422933579902976
0,5059,799308762079035393
9364,2551,799297110730567681
7676,2335,799063482566066176
12391,4143,798933969379225600
7146,1355,798925684722855936
0,6189,798705661114773508
0,7211,798701998996647937
0,6073,798697898615730177
0,4627,798694562394996736
0,2172,798686750113755136
0,4418,798682547630837760
0,5203,798673117451325440
0,3667,798665375516884993
0,1737,798644042770751489
0,1857,798628517273620480
0,5254,798585098161549313
0,5459,798576900688019456
0,3131,798340744599797760
9901,2418,798209839306514432
10922,2880,797971864723324932
13841,4604,797545162159308800
18874,6134,797236660651966464
212,24,797165961484890113
0,8332,796904159865868288
7285,1825,796865951799083009
11172,2820,796759840936919040
0,6708,796563435802726400
7166,1644,796484825502875648
10429,3877,796387464403357696
0,13322,796177847564038144
30420,13322,796149749086875649
4725,1680,796125600683540480
8615,2244,796116448414461957
8002,2158,796080075804475393
10238,3492,796031486298386433
46623,21885,795464331001561088
9475,2675,795400264262053889
15307,5078,795076730285391872
0,3148,794983741416415232
9651,2153,794926597468000259
0,9629,794355576146903043
9108,2532,794332329137291264
8749,3102,794205286408003585
15864,4557,793962221541933056
8743,1739,793845145112371200
0,2918,793614319594401792
7556,1511,793601777308463104
10087,2225,793500921481273345
23290,8571,793286476301799424
8231,2239,793271401113350145
18872,7771,793256262322548741
9957,3064,793241302385262592
9261,2706,793226087023144960
8452,2600,793210959003287553
14407,5256,793195938047070209
6544,1858,793180763617361921
8876,2620,793165685325201412
5834,1592,793150605191548928
6060,2348,793135492858580992
11987,3669,793120401413079041
13548,3698,792913359805018113
10682,3991,792883833364439040
6981,1569,792773781206999040
12678,4004,792394556390137856
6758,1665,792050063153438720
0,19626,791821351946420224
0,8849,791784077045166082
0,3544,791780927877898241
42631,20684,791774931465953280
11117,2918,791672322847637504
12461,3844,791406955684368384
8301,2358,791312159183634433
0,3792,791026214425268224
9282,1981,790987426131050500
15826,4372,790946055508652032
0,2139,790723298204217344
7780,1798,790698755171364864
19493,6622,790581949425475584
7407,1763,790337589677002753
11865,2944,790277117346975746
0,3294,790227638568808452
8784,2139,789986466051088384
0,3808,789960241177853952
9757,3871,789903600034189313
7057,1638,789628658055020548
6361,1787,789599242079838210
11056,3148,789530877013393408
8179,2130,789314372632018944
0,4575,789280767834746880
8629,2435,789268448748703744
9206,2600,789137962068021249
26001,11674,788908386943430656
25833,9629,788765914992902144
0,6632,788552643979468800
14674,4908,788412144018661376
6873,1967,788178268662984705
5780,1196,788150585577050112
0,3200,788070120937619456
5776,1220,788039637453406209
8128,2831,787810552592695296
9691,2577,787717603741622272
10300,2657,787397959788929025
7373,1621,787322443945877504
0,6279,787111942498508800
25213,7404,786963064373534720
0,2269,786729988674449408
17326,5710,786709082849828864
10027,2359,786664955043049472
8957,2903,786595970293370880
10256,3206,786363235746385920
7546,2635,786286427768250368
14366,4356,786233965241827333
1352,145,786051337297522688
0,6480,786036967502913536
10773,2974,785927819176054784
6324,1667,785872687017132033
7437,2100,785639753186217984
8557,1832,785533386513321988
5775,1157,785515384317313025
6890,1513,785264754247995392
11331,4481,785170936622350336
9551,2999,784826020293709826
8471,2355,784517518371221505
5433,1181,784431430411685888
18896,7435,784183165795655680
28008,10317,784057939640352768
28305,10001,783839966405230592
6952,1821,783821107061198850
9835,2981,783695101801398276
7945,2072,783466772167098368
15958,5073,783391753726550016
0,5131,783347506784731136
27393,10838,783334639985389568
7709,2017,783085703974514689
22752,6864,782969140009107456
7054,1315,782747134529531904
16238,4995,782722598790725632
7369,1763,782598640137187329
15670,5113,782305867769217024
0,5709,782021823840026624
10540,3126,781955203444699136
9842,2510,781661882474196992
3764,1047,781655249211752448
19526,5124,781524693396357120
6722,2376,781308096455073793
7897,1922,781251288990355457
9245,2572,781163403222056960
20439,6708,780931614150983680
6781,1855,780858289093574656
5175,1198,780800785462489090
11400,3115,780601303617732608
5935,1623,780543529827336192
0,3411,780496263422808064
0,103,780476555013349377
4981,999,780459368902959104
8186,2076,780192070812196864
0,2120,780092040432480260
11391,4556,780074436359819264
17703,6480,779834332596887552
8234,2873,779377524342161408
0,16942,779124354206535695
13845,4192,779056095788752897
18697,6631,778990705243029504
0,9113,778774459159379968
819,337,778764940568104960
6435,1203,778748913645780993
5407,1384,778650543019483137
4331,940,778624900596654080
12831,3994,778408200802557953
0,11289,778396591732486144
5488,1018,778383385161035776
9717,3054,778286810187399168
7965,2454,778039087836069888
6181,1490,778027034220126208
0,3255,777953400541634568
5984,1511,777885040357281792
10585,2715,777684233540206592
0,3905,777641927919427584
8197,2331,777621514455814149
13268,3972,777189768882946048
0,12540,776819012571455488
4597,1111,776813020089548800
8220,2549,776477788987613185
0,8415,776249906839351296
28018,14647,776218204058357768
9001,2328,776201521193218049
11074,4010,776113305656188928
1713,141,776088319444877312
0,15463,775898661951791106
11005,2454,775842724423557120
13036,3691,775733305207554048
12239,4261,775729183532220416
6924,2707,775364825476165632
9548,3614,775350846108426240
14588,4353,775085132600442880
8113,1650,774757898236878852
6347,1610,774639387460112384
20474,5059,774314403806253056
10129,3574,773985732834758656
6042,1617,773922284943896577
6221,1494,773704687002451968
5045,1220,773670353721753600
20773,5669,773547596996571136
0,4653,773336787167145985
21914,6929,773308824254029826
8858,2992,773247561583001600
9355,3791,773191612633579521
8026,3568,772877495989305348
7554,2201,772826264096874500
0,3106,772615324260794368
6088,1579,772581559778025472
5664,1285,772193107915964416
3581,1048,772152991789019136
3540,686,772117678702071809
2576,440,772114945936949249
3764,861,772102971039580160
6162,1749,771908950375665664
11250,3131,771770456517009408
7749,2414,771500966810099713
9886,4653,771380798096281600
0,6868,771171053431250945
8581,2700,771136648247640064
5848,1325,771102124360998913
6464,1533,771014301343748096
4604,1100,770787852854652928
4876,1320,770772759874076672
6904,1663,770655142660169732
5926,1921,770414278348247044
5836,1351,770293558247038976
0,2803,770093767776997377
7123,2117,770069151037685760
29214,8805,769940425801170949
6024,1558,769695466921623552
0,7104,769335591808995329
5070,1592,769212283578875904
13360,5975,768970937022709760
0,2429,768909767477751808
3920,819,768855141948723200
3844,1094,768609597686943744
4726,1184,768596291618299904
0,5367,768554158521745409
12743,3150,768473857036525572
10155,3255,768193404517830656
4457,1262,767884188863397888
14941,4938,767754930266464257
7028,2141,767500508068192258
11501,3456,767191397493538821
9522,2629,767122157629476866
4732,1249,766793450729734144
2458,345,766714921925144576
3785,727,766693177336135680
5616,1449,766423258543644672
6325,1728,766313316352462849
0,2410,766078092750233600
3926,770,766069199026450432
3524,456,766008592277377025
6785,1984,765719909049503744
4844,1128,765669560888528897
25051,3097,765395769549590528
6663,1997,765371061932261376
10893,3106,765222098633691136
6063,1642,764857477905154048
5620,1383,764259802650378240
730,49,763956972077010945
11722,3792,763837565564780549
5045,1352,763183847194451968
0,2741,763167063695355904
6904,2109,763103485927849985
11332,3294,762699858130116608
10483,5884,762471784394268675
9616,3808,762464539388485633
4492,1027,762316489655476224
29735,14238,762035686371364864
5029,1817,761976711479193600
0,3575,761750502866649088
4005,792,761745352076779520
46162,26629,761672994376806400
3874,1096,761599872357261312
0,16584,761371037149827077
4813,1332,761334018830917632
4175,998,761292947749015552
4985,1437,761227390836215808
10623,3200,761004547850530816
3564,886,760893934457552897
6162,1743,760656994973933572
4660,1185,760641137271070720
7060,3324,760539183865880579
3912,1278,760521673607086080
25009,10530,760290219849637889
3696,795,760252756032651264
5336,1644,760190180481531904
0,28,760153949710192640
5516,1925,759943073749200896
6271,1793,759846353224826880
5566,1756,759793422261743616
4388,1101,759557299618865152
7923,2269,759447681597108224
1560,453,759446261539934208
5688,1798,759197388317847553
0,1065,759159934323924993
13589,3807,759099523532779520
6055,1844,759047813560868866
3318,838,758854675097526272
10448,3541,758828659922702336
5366,1496,758740312047005698
3548,912,758474966123810816
4466,2026,758467244762497024
4862,1757,758405701903519748
3144,956,758355060040593408
17658,9113,758099635764359168
2523,338,758041019896193024
6389,3015,757741869644341248
0,7184,757729163776290825
4244,1108,757725642876129280
4284,1004,757611664640446465
0,277,757597904299253760
4063,954,757596066325864448
14109,6296,757400162377592832
5430,1574,757393109802180609
4201,1298,757354760399941633
5857,1829,756998049151549440
6194,1831,756939218950160384
4686,1190,756651752796094464
9681,3287,756526248105566208
3684,1002,756303284449767430
41093,16257,756288534030475264
5964,1402,756275833623502848
6811,2618,755955933503782912
15261,4891,755206590534418437
19678,10153,755110668769038337
0,7217,754874841593970688
6430,2306,754856583969079297
2409,476,754747087846248448
4917,1785,754482103782404096
3496,671,754449512966619136
7368,2157,754120377874386944
5438,1986,753655901052166144
7318,3228,753420520834629632
5342,1724,753398408988139520
7118,2120,753375668877008896
0,5188,753298634498793472
3122,955,753294487569522689
34508,19121,753039830821511168
3642,874,753026973505581056
11729,6279,752932432744185856
6494,1437,752917284578922496
0,2609,752701944171524096
5585,1455,752682090207055872
4070,1418,752660715232722944
5106,2078,752568224206688256
6837,3148,752519690950500352
3587,1006,752334515931054080
0,14861,752309394570878976
5530,1667,752173152931807232
2841,830,751950017322246144
4821,1195,751937170840121344
5427,1784,751830394383790080
5380,2608,751793661361422336
7391,2822,751598357617971201
4094,1001,751583847268179968
4702,1144,751538714308972544
2997,920,751456908746354688
11704,5372,751251247299190784
5892,1661,751205363882532864
4719,1180,751132876104687617
4444,1242,750868782890057730
12227,4575,750719632563142656
4127,1046,750506206503038976
12279,3905,750429297815552001
4256,1038,750383411068534784
668,26,750381685133418496
2901,873,750147208377409536
3356,1174,750132105863102464
4040,1204,750117059602808832
2838,773,750101899009982464
2022,490,750086836815486976
7231,3023,750071704093859840
2949,817,750056684286914561
2955,565,750041628174217216
2523,717,750026558547456000
3000,819,750011400160841729
2822,754,749996283729883136
4770,2271,749981277374128128
4345,1205,749774190421639168
5662,1507,749417653287129088
2433,489,749403093750648834
7944,3143,749395845976588288
5085,2039,749317047558017024
5354,1878,749075273010798592
4491,1401,749064354620928000
2876,728,749036806121881602
10000,3124,748977405889503236
5398,2052,748932637671223296
2579,873,748705597323898880
4398,1452,748699167502000129
3944,1224,748692773788876800
5619,1802,748575535303884801
2042,606,748568946752774144
4840,1119,748346686624440324
7039,3723,748337862848962560
3444,689,748324050481647620
3437,652,748307329658011649
13104,7085,748220828303695873
5369,1950,747963614829678593
6160,2346,747933425676525569
2713,878,747885874273214464
2621,673,747844099428986880
4490,1053,747816857231626240
1270,143,747651430853525504
11935,5306,747648653817413632
2165,520,747600769478692864
3412,946,747594051852075008
5110,1470,747512671126323200
3582,938,747461612269887489
5025,1749,747439450712596480
0,2620,747242308580548608
4878,1433,747219827526344708
3117,828,747204161125646336
8863,3611,747103485104099331
2710,269,746906459439529985
5552,1935,746872823977771008
4939,1591,746818907684614144
4512,1456,746790600704425984
8816,3544,746757706116112384
5618,1633,746726898085036033
4675,1741,746542875601690625
0,898,746521445350707200
4336,989,746507379341139972
5748,1482,746369468511756288
6373,1992,746131877086527488
3314,738,746056683365994496
3656,961,745789745784041472
6487,2120,745712589599014916
6527,2300,745433870967832576
7930,2190,745422732645535745
6593,2473,745314880350101504
7244,3176,745074613265149952
6736,2048,745057283344719872
2734,566,744995568523612160
7283,2435,744971049620602880
5210,1430,744709971296780288
6323,1924,744334592493166593
144332,70374,744234799360020481
1531,324,744223424764059648
3886,1000,743980027717509120
3397,875,743895849529389061
0,1862,743835915802583040
4151,1268,743609206067040256
16906,5939,743595368194129920
3269,859,743545585370791937
7401,3410,743510151680958465
3923,1116,743253157753532416
5719,1728,743222593470234624
3553,1232,743210557239623680
6540,3269,742534281772302336
4091,1790,742528092657332225
6735,3587,742465774154047488
9071,3411,742423170473463808
6273,1772,742385895052087300
3988,1242,742161199639494656
4699,1394,742150209887731712
4208,1380,741793263812808706
7533,2489,741743634094141440
3409,744,741438259667034112
8109,2910,741303864243200000
9201,5004,741099773336379392
8836,2803,741067306818797568
5811,2460,740995100998766593
3140,859,740711788199743490
2644,706,740699697422163968
16796,6189,740676976021798912
32486,12096,740373189193256964
2242,385,740365076218183684
3044,794,740359016048689152
6173,1780,740214038584557568
18455,5367,739979191639244800
3746,983,739932936087216128
3517,785,739844404073074688
3491,1236,739623569819336705
4977,1490,739606147276148736
36386,19198,739544079319588864
6584,2635,739485634323156992
106850,52665,739238157791694849
89,6,738891149612572673
3495,1042,738885046782832640
3036,719,738883359779196928
4693,1392,738537504001953792
3003,737,738402415918125056
3965,1104,738184450748633089
8050,3028,738166403467907072
2279,583,738156290900254721
4820,1601,737826014890496000
9245,3162,737800304142471168
4622,1193,737678689543020544
9423,4043,737445876994609152
3315,730,737322739594330112
13492,6732,737310737551491075
3869,1537,736736130620620800
16299,6632,736392552031657984
3655,1110,736365877722001409
7474,2535,736225175608430592
7232,2694,736010884653420544
3292,1032,735991953473572864
3723,1007,735648611367784448
5649,2137,735635087207878657
12017,4533,735274964362878976
3056,801,735256018284875776
2873,877,735137028879360001
2538,471,734912297295085568
11536,5742,734787690684657664
2312,487,734776360183431168
1373,353,734559631394082816
3300,714,733828123016450049
3384,922,733822306246479872
2875,852,733482008106668032
3867,1135,733460102733135873
49252,15463,733109485275860992
2224,481,732732193018155009
3287,794,732726085725589504
3353,712,732585889486888962
7417,2275,732375214819057664
13663,4862,732005617171337216
3216,899,731285275100512256
3542,1140,731156023742988288
5629,1781,730924654643314689
4454,1909,730573383004487680
3195,937,730427201120833536
3481,956,730211855403241472
